[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 50.0112][ 30.2571][ 20.9725][ 15.8943][ 12.7687][ 10.6705][ 9.17035][ 8.04673][ 7.17497][ 6.47981][ 5.91325][ 5.44322][ 5.04752][  4.7103][ 4.41991][ 4.16764][ 3.94681][ 3.75226][ 3.57988][ 3.42643][ 3.28925][  3.1662][ 3.05549][ 2.95566][ 2.86548][ 2.78389][ 2.71002][ 2.64313][ 2.58256][ 2.52778][  2.4783][ 2.43373][  2.3937][ 2.35791][ 2.32611][ 2.29806][ 2.27357][ 2.25249][ 2.23466][ 2.21998][ 2.20835][ 2.19971][ 2.19399][ 2.19116][  2.1912][ 2.19412][ 2.19993][ 2.20867][ 2.22038][ 2.23515][ 2.25306][ 2.27423][ 2.29879][ 2.32692][ 2.35879][ 2.39465][ 2.43475][ 2.47939][ 2.52892][ 2.58376][ 2.64437][ 2.71131][ 2.78522][ 2.86683][ 2.95705][  3.0569][ 3.16762][ 3.29068][ 3.42786][ 3.58131][ 3.75368][ 3.94821][ 4.16901][ 4.42125][  4.7116][ 5.04878][ 5.44442][ 5.91439][ 6.48089][ 7.17597][ 8.04765][ 9.17118][ 10.6712][ 12.7693][ 15.8949][ 20.9729][ 30.2573][ 50.0113][     100]
[     100][ 69.7876][ 50.0447][ 37.7385][ 29.8362][ 24.5101][  20.743][ 17.9642][ 15.8417][ 14.1734][ 12.8311][ 11.7301][ 10.8122][ 10.0367][ 9.37389][ 8.80184][ 8.30397][ 7.86751][  7.4825][ 7.14102][ 6.83676][ 6.56456][ 6.32024][ 6.10031][  5.9019][ 5.72257][ 5.56028][  5.4133][ 5.28016][ 5.15959][  5.0505][ 4.95196][ 4.86316][ 4.78341][  4.7121][ 4.64872][ 4.59282][ 4.54402][ 4.50198][ 4.46645][ 4.43718][   4.414][ 4.39676][ 4.38535][ 4.37971][  4.3798][ 4.38562][ 4.39721][ 4.41462][ 4.43798][ 4.46742][ 4.50312][ 4.54532][ 4.59428][ 4.65034][ 4.71386][ 4.78531][ 4.86519][ 4.95412][ 5.05277][ 5.16197][ 5.28264][ 5.41587][ 5.56293][ 5.72528][ 5.90467][ 6.10313][ 6.32308][ 6.56742][ 6.83962][ 7.14388][ 7.48533][ 7.87031][ 8.30672][ 8.80453][  9.3765][ 10.0392][ 10.8146][ 11.7324][ 12.8333][ 14.1754][ 15.8435][ 17.9659][ 20.7444][ 24.5113][ 29.8373][ 37.7393][ 50.0452][ 69.7879][     100]
[     100][ 79.0946][ 62.3956][ 50.1006][ 41.2021][ 34.6925][ 29.8272][  26.102][ 23.1825][ 20.8461][ 18.9414][ 17.3638][ 16.0391][ 14.9134][ 13.9469][ 13.1098][ 12.3792][  11.737][ 11.1695][ 10.6652][ 10.2153][ 9.81232][ 9.45021][ 9.12397][ 8.82939][ 8.56297][ 8.32173][ 8.10313][ 7.90501][ 7.72552][ 7.56306][ 7.41627][ 7.28396][ 7.16509][ 7.05879][ 6.96429][ 6.88092][ 6.80813][ 6.74542][ 6.69241][ 6.64874][ 6.61415][ 6.58843][ 6.57141][ 6.56299][ 6.56313][ 6.57181][  6.5891][ 6.61509][ 6.64994][ 6.69386][ 6.74713][ 6.81008][ 6.88311][ 6.96671][ 7.06143][ 7.16794][ 7.28701][ 7.41951][ 7.56647][ 7.72909][ 7.90872][ 8.10698][ 8.32569][ 8.56704][ 8.83354][ 9.12818][ 9.45447][  9.8166][ 10.2196][ 10.6695][ 11.1737][ 11.7412][ 12.3833][ 13.1139][ 13.9509][ 14.9172][ 16.0427][ 17.3673][ 18.9446][ 20.8491][ 23.1853][ 26.1045][ 29.8294][ 34.6944][ 41.2036][ 50.1018][ 62.3964][  79.095][     100]
[     100][ 84.1951][ 70.3426][ 59.0663][  50.179][ 43.2308][ 37.7716][ 33.4341][ 29.9406][ 27.0871][ 24.7248][  22.745][ 21.0672][ 19.6311][  18.391][ 17.3118][ 16.3661][ 15.5324][ 14.7935][ 14.1356][ 13.5474][ 13.0196][ 12.5448][ 12.1164][ 11.7292][ 11.3787][  11.061][  10.773][ 10.5118][  10.275][ 10.0605][ 9.86669][ 9.69189][ 9.53481][ 9.39429][ 9.26932][ 9.15906][ 9.06277][  8.9798][ 8.90965][ 8.85186][ 8.80608][ 8.77202][  8.7495][ 8.73836][ 8.73853][ 8.75003][ 8.77292][ 8.80732][ 8.85345][ 8.91158][ 8.98208][ 9.06536][ 9.16198][ 9.27254][  9.3978][  9.5386][ 9.69595][ 9.87099][ 10.0651][ 10.2797][ 10.5167][ 10.7781][ 11.0663][ 11.3841][ 11.7347][  12.122][ 12.5504][ 13.0253][ 13.5531][ 14.1413][ 14.7992][  15.538][ 16.3716][ 17.3171][ 18.3962][ 19.6361][  21.072][ 22.7496][ 24.7291][ 27.0911][ 29.9443][ 33.4374][ 37.7745][ 43.2332][ 50.1811][ 59.0679][ 70.3437][ 84.1956][     100]
[     100][ 87.3431][ 75.7136][ 65.6432][ 57.2171][   50.28][ 44.5945][ 39.9226][  36.059][ 32.8371][ 30.1261][ 27.8246][ 25.8539][ 24.1531][ 22.6745][ 21.3806][ 20.2415][ 19.2334][ 18.3371][ 17.5367][ 16.8195][ 16.1747][ 15.5934][ 15.0683][  14.593][ 14.1622][ 13.7714][ 13.4167][ 13.0948][ 12.8028][ 12.5381][ 12.2988][ 12.0829][ 11.8887][  11.715][ 11.5604][  11.424][ 11.3049][ 11.2022][ 11.1153][ 11.0438][ 10.9871][ 10.9449][  10.917][ 10.9032][ 10.9034][ 10.9177][  10.946][ 10.9886][ 11.0458][ 11.1177][  11.205][ 11.3081][ 11.4277][ 11.5644][ 11.7194][ 11.8934][ 12.0879][ 12.3042][ 12.5438][ 12.8087][  13.101][ 13.4231][  13.778][  14.169][ 14.5999][ 15.0753][ 15.6005][ 16.1818][ 16.8266][ 17.5438][ 18.3441][ 19.2404][ 20.2484][ 21.3873][  22.681][ 24.1594][ 25.8599][ 27.8303][ 30.1315][  32.842][ 36.0635][ 39.9267][ 44.5981][ 50.2832][ 57.2196][ 65.6452][  75.715][ 87.3438][     100]
[     100][ 89.4638][ 79.5257][ 70.5759][ 62.7661][ 56.0781][ 50.4038][ 45.6031][ 41.5358][ 38.0764][ 35.1183][ 32.5737][ 30.3713][ 28.4535][ 26.7739][ 25.2951][ 23.9865][ 22.8233][ 21.7852][ 20.8554][ 20.0198][ 19.2668][ 18.5867][ 17.9711][  17.413][ 16.9066][ 16.4465][ 16.0285][ 15.6488][  15.304][ 14.9913][ 14.7084][ 14.4529][ 14.2232][ 14.0174][ 13.8344][ 13.6727][ 13.5314][ 13.4097][ 13.3067][ 13.2218][ 13.1546][ 13.1045][ 13.0714][  13.055][ 13.0553][ 13.0722][ 13.1059][ 13.1564][ 13.2242][ 13.3096][ 13.4131][ 13.5353][  13.677][ 13.8392][ 14.0227][ 14.2288][  14.459][ 14.7148][ 14.9981][ 15.3111][ 15.6561][ 16.0362][ 16.4544][ 16.9146][ 17.4213][ 17.9795][ 18.5951][ 19.2753][ 20.0283][ 20.8639][ 21.7937][ 22.8317][ 23.9947][ 25.3031][ 26.7817][  28.461][ 30.3784][ 32.5805][ 35.1247][ 38.0824][ 41.5413][  45.608][ 50.4081][ 56.0818][ 62.7692][ 70.5782][ 79.5273][ 89.4646][     100]
[     100][ 90.9864][ 82.3494][ 74.3687][ 67.1937][ 60.8627][ 55.3398][ 50.5504][ 46.4052][ 42.8149][ 39.6974][ 36.9811][ 34.6045][ 32.5161][ 30.6732][ 29.0399][ 27.5867][ 26.2889][ 25.1259][ 24.0805][ 23.1383][  22.287][ 21.5162][ 20.8172][ 20.1824][ 19.6054][ 19.0805][  18.603][ 18.1688][ 17.7741][ 17.4159][ 17.0915][ 16.7984][ 16.5346][ 16.2983][  16.088][ 15.9021][ 15.7397][ 15.5996][ 15.4811][ 15.3834][  15.306][ 15.2484][ 15.2103][ 15.1914][ 15.1917][ 15.2112][ 15.2499][ 15.3081][ 15.3862][ 15.4844][ 15.6035][ 15.7442][ 15.9072][ 16.0935][ 16.3044][ 16.5412][ 16.8055][  17.099][ 17.4238][ 17.7823][ 18.1773][ 18.6119][ 19.0897][ 19.6148][  20.192][ 20.8269][ 21.5261][ 22.2969][ 23.1482][ 24.0904][ 25.1357][ 26.2986][ 27.5962][ 29.0492][ 30.6822][ 32.5248][ 34.6128][  36.989][ 39.7049][ 42.8218][ 46.4116][ 50.5562][ 55.3449][  60.867][ 67.1973][ 74.3714][ 82.3513][ 90.9874][     100]
[     100][ 92.1326][ 84.5171][ 77.3559][ 70.7776][ 64.8393][ 59.5427][  54.854][ 50.7201][ 47.0809][  43.876][ 41.0492][   38.55][ 36.3341][ 34.3634][ 32.6054][ 31.0322][ 29.6204][ 28.3498][ 27.2034][ 26.1668][ 25.2275][  24.375][ 23.6001][ 22.8951][ 22.2531][ 21.6682][ 21.1354][ 20.6503][ 20.2089][  19.808][ 19.4445][ 19.1159][ 18.8199][ 18.5546][ 18.3183][ 18.1094][ 17.9268][ 17.7693][  17.636][  17.526][ 17.4389][ 17.3741][ 17.3312][   17.31][ 17.3103][ 17.3322][ 17.3758][ 17.4414][ 17.5292][ 17.6398][ 17.7738][ 17.9319][ 18.1152][ 18.3246][ 18.5615][ 18.8274][ 19.1239][  19.453][ 19.8169][ 20.2183][ 20.6601][ 21.1455][ 21.6786][ 22.2637][  22.906][ 23.6112][ 24.3862][ 25.2388][  26.178][ 27.2146][ 28.3609][ 29.6314][ 31.0431][  32.616][ 34.3737][  36.344][ 38.5594][ 41.0582][ 43.8845][ 47.0888][ 50.7274][ 54.8605][ 59.5485][ 64.8442][ 70.7816][  77.359][ 84.5192][ 92.1337][     100]
[     100][  93.027][ 86.2306][ 79.7603][ 73.7217][ 68.1744][ 63.1381][ 58.6031][ 54.5409][ 50.9131][ 47.6771][ 44.7904][ 42.2127][ 39.9075][ 37.8418][ 35.9868][ 34.3174][ 32.8115][ 31.4503][ 30.2175][ 29.0989][ 28.0823][ 27.1572][ 26.3144][ 25.5459][ 24.8448][ 24.2051][ 23.6215][ 23.0893][ 22.6046][ 22.1639][ 21.7639][ 21.4021][ 21.0759][ 20.7833][ 20.5226][  20.292][ 20.0903][ 19.9163][ 19.7689][ 19.6474][ 19.5511][ 19.4794][ 19.4319][ 19.4085][ 19.4089][ 19.4331][ 19.4813][ 19.5538][ 19.6509][ 19.7732][ 19.9213][ 20.0961][ 20.2985][ 20.5297][ 20.7911][ 21.0843][  21.411][ 21.7735][ 22.1739][ 22.6152][ 23.1003][ 23.6328][ 24.2167][ 24.8568][ 25.5581][ 26.3268][ 27.1697][  28.095][ 29.1115][ 30.2301][ 31.4628][ 32.8238][ 34.3295][ 35.9987][ 37.8533][ 39.9186][ 42.2234][ 44.8005][ 47.6866][ 50.9219][  54.549][ 58.6104][ 63.1446][   68.18][ 73.7262][ 79.7637][  86.233][ 93.0282][     100]
[     100][ 93.7449][ 87.6183][  81.733][ 76.1748][  70.999][ 66.2326][ 61.8797][ 57.9278][  54.354][ 51.1295][ 48.2231][ 45.6039][ 43.2421][ 41.1103][ 39.1837][ 37.4398][ 35.8589][ 34.4236][ 33.1185][ 31.9302][ 30.8469][ 29.8584][ 28.9556][ 28.1306][ 27.3765][ 26.6872][ 26.0574][ 25.4824][ 24.9579][ 24.4805][ 24.0468][ 23.6541][ 23.2998][ 22.9819][ 22.6983][ 22.4474][ 22.2278][ 22.0383][ 21.8777][ 21.7453][ 21.6403][ 21.5621][ 21.5104][ 21.4848][ 21.4852][ 21.5117][ 21.5643][ 21.6433][ 21.7492][ 21.8825][ 22.0438][ 22.2342][ 22.4545][ 22.7062][ 22.9905][ 23.3091][  23.664][ 24.0574][ 24.4916][ 24.9696][ 25.4945][ 26.0699][ 26.7001][ 27.3897][ 28.1441][ 28.9693][ 29.8722][ 30.8608][ 31.9441][ 33.1324][ 34.4374][ 35.8726][ 37.4532][ 39.1968][ 41.1231][ 43.2544][ 45.6156][ 48.2343][   51.14][ 54.3638][ 57.9368][ 61.8878][ 66.2398][ 71.0051][ 76.1798][ 81.7369][  87.621][ 93.7462][     100]
