One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999044
Iteration Count: 2068
Ticks: 329468
Seconds: 0.329468s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 50.0455][ 30.3258][ 21.0758][ 16.0327][ 12.9424][ 10.8801][ 9.41651][ 8.33026][ 7.49678][ 6.84098][ 6.31501][ 5.88699][ 5.53491][ 5.24311][  5.0002][ 4.79771][ 4.62929][ 4.49008][ 4.37637][ 4.28532][ 4.21478][ 4.16318][ 4.12937][ 4.11264][ 4.11264][ 4.12938][ 4.16319][ 4.21481][ 4.28535][  4.3764][ 4.49012][ 4.62934][ 4.79776][ 5.00025][ 5.24316][ 5.53497][ 5.88705][ 6.31507][ 6.84104][ 7.49684][ 8.33031][ 9.41656][ 10.8801][ 12.9424][ 16.0327][ 21.0759][ 30.3258][ 50.0455][     100]
[     100][ 69.8561][ 50.1819][ 37.9449][ 30.1124][ 24.8569][ 21.1615][ 18.4557][ 16.4077][ 14.8159][ 13.5522][ 12.5321][ 11.6981][ 11.0095][ 10.4373][ 9.95998][ 9.56139][ 9.22939][ 8.95468][ 8.73009][ 8.55014][ 8.41066][ 8.30857][ 8.24167][ 8.20857][ 8.20858][ 8.24169][ 8.30861][ 8.41071][  8.5502][ 8.73016][ 8.95476][ 9.22948][ 9.56149][ 9.96009][ 10.4375][ 11.0097][ 11.6982][ 12.5322][ 13.5523][  14.816][ 16.4079][ 18.4558][ 21.1616][  24.857][ 30.1125][ 37.9449][  50.182][ 69.8561][     100]
[     100][ 79.1971][ 62.6009][ 50.4094][ 41.6152][ 35.2112][ 30.4532][ 26.8371][ 24.0292][ 21.8069][ 20.0197][ 18.5632][ 17.3636][ 16.3679][ 15.5368][  14.841][ 14.2585][ 13.7722][ 13.3692][ 13.0392][ 12.7745][ 12.5692][ 12.4188][ 12.3202][ 12.2714][ 12.2714][ 12.3203][ 12.4189][ 12.5693][ 12.7746][ 13.0393][ 13.3693][ 13.7724][ 14.2586][ 14.8412][ 15.5369][ 16.3681][ 17.3638][ 18.5633][ 20.0198][ 21.8071][ 24.0293][ 26.8373][ 30.4533][ 35.2114][ 41.6153][ 50.4095][  62.601][ 79.1971][     100]
[     100][ 84.3312][ 70.6154][ 59.4765][ 50.7278][ 43.9197][ 38.6029][ 34.4104][ 31.0649][ 28.3629][ 26.1565][ 24.3373][ 22.8255][ 21.5616][ 20.5009][ 19.6089][ 18.8594][ 18.2319][ 17.7106][ 17.2831][ 16.9396][ 16.6728][ 16.4773][  16.349][ 16.2855][ 16.2855][ 16.3491][ 16.4774][ 16.6729][ 16.9397][ 17.2832][ 17.7108][ 18.2321][ 18.8596][ 19.6091][ 20.5011][ 21.5619][ 22.8257][ 24.3375][ 26.1567][ 28.3632][ 31.0651][ 34.4106][ 38.6031][ 43.9199][ 50.7279][ 59.4766][ 70.6155][ 84.3313][     100]
[     100][ 87.5125][ 76.0529][ 66.1534][ 57.8996][  51.137][ 45.6285][ 41.1368][ 37.4571][ 34.4235][ 31.9061][  29.804][ 28.0395][ 26.5524][ 25.2962][ 24.2343][ 23.3383][ 22.5856][ 21.9584][ 21.4429][  21.028][ 20.7053][ 20.4686][ 20.3131][ 20.2361][ 20.2362][ 20.3132][ 20.4686][ 20.7055][ 21.0281][ 21.4431][ 21.9586][ 22.5858][ 23.3385][ 24.2346][ 25.2964][ 26.5527][ 28.0397][ 29.8043][ 31.9064][ 34.4238][ 37.4573][  41.137][ 45.6287][ 51.1372][ 57.8998][ 66.1535][  76.053][ 87.5126][     100]
[     100][ 89.6659][ 79.9304][ 71.1845][ 63.5804][ 57.1004][ 51.6371][ 47.0511][ 43.2031][ 39.9681][ 37.2404][ 34.9332][  32.976][ 31.3124][ 29.8971][  28.694][ 27.6739][ 26.8137][ 26.0947][ 25.5021][ 25.0243][  24.652][ 24.3785][ 24.1989][ 24.1098][ 24.1099][ 24.1989][ 24.3786][ 24.6522][ 25.0244][ 25.5023][ 26.0949][ 26.8139][ 27.6742][ 28.6943][ 29.8975][ 31.3127][ 32.9763][ 34.9335][ 37.2408][ 39.9684][ 43.2034][ 47.0515][ 51.6374][ 57.1006][ 63.5806][ 71.1847][ 79.9306][  89.666][     100]
[     100][ 91.2206][ 82.8185][ 75.0739][ 68.1371][ 62.0469][ 56.7685][ 52.2277][ 48.3361][ 45.0054][ 42.1544][ 39.7123][  37.619][ 35.8241][ 34.2861][ 32.9707][ 31.8498][ 30.9006][ 30.1046][ 29.4467][  28.915][ 28.5001][ 28.1948][ 27.9941][ 27.8946][ 27.8946][ 27.9942][ 28.1949][ 28.5002][ 28.9152][ 29.4469][ 30.1049][ 30.9009][ 31.8501][  32.971][ 34.2865][ 35.8245][ 37.6194][ 39.7127][ 42.1548][ 45.0058][ 48.3365][  52.228][ 56.7688][ 62.0472][ 68.1373][ 75.0741][ 82.8186][ 91.2207][     100]
[     100][ 92.3982][ 85.0489][ 78.1554][ 71.8471][ 66.1819][ 61.1622][  56.755][ 52.9084][  49.563][ 46.6595][ 44.1428][ 41.9637][ 40.0791][ 38.4525][ 37.0528][  35.854][ 34.8345][ 33.9764][ 33.2652][  32.689][ 32.2385][ 31.9066][ 31.6882][ 31.5798][ 31.5798][ 31.6883][ 31.9068][ 32.2387][ 32.6892][ 33.2655][ 33.9768][ 34.8349][ 35.8544][ 37.0532][  38.453][ 40.0796][ 41.9641][ 44.1433][ 46.6599][ 49.5634][ 52.9088][ 56.7554][ 61.1625][ 66.1822][ 71.8474][ 78.1556][ 85.0491][ 92.3982][     100]
[     100][ 93.3231][ 86.8237][ 80.6518][ 74.9142][ 69.6712][ 64.9434][  60.722][ 56.9795][ 53.6786][ 50.7778][ 48.2359][ 46.0138][ 44.0763][ 42.3921][ 40.9342][ 39.6791][ 38.6071][ 37.7016][ 36.9487][ 36.3374][ 35.8585][ 35.5052][ 35.2724][ 35.1568][ 35.1568][ 35.2724][ 35.5053][ 35.8587][ 36.3376][  36.949][ 37.7019][ 38.6075][ 39.6795][ 40.9347][ 42.3926][ 44.0768][ 46.0143][ 48.2364][ 50.7783][ 53.6791][   56.98][ 60.7224][ 64.9438][ 69.6716][ 74.9145][  80.652][ 86.8238][ 93.3232][     100]
[     100][ 94.0707][ 88.2708][ 82.7139][ 77.4867][ 72.6455][ 68.2182][ 64.2099][ 60.6092][ 57.3943][ 54.5375][ 52.0091][ 49.7793][ 47.8202][ 46.1057][ 44.6128][ 43.3212][ 42.2134][ 41.2741][  40.491][ 39.8534][  39.353][ 38.9833][ 38.7394][ 38.6183][ 38.6183][ 38.7395][ 38.9834][ 39.3532][ 39.8537][ 40.4913][ 41.2745][ 42.2138][ 43.3217][ 44.6133][ 46.1062][ 47.8207][ 49.7799][ 52.0096][  54.538][ 57.3948][ 60.6097][ 64.2104][ 68.2187][ 72.6459][ 77.4871][ 82.7142][  88.271][ 94.0708][     100]
