One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999145
Iteration Count: 2971
Ticks: 639389
Seconds: 0.639389s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 50.0251][ 30.2849][ 21.0142][ 15.9499][ 12.8381][ 10.7536][  9.2672][ 8.15724][ 7.29906][ 6.61742][ 6.06428][  5.6076][ 5.22516][ 4.90109][ 4.62377][ 4.38446][ 4.17649][  3.9947][ 3.83498][ 3.69409][ 3.56938][ 3.45871][  3.3603][  3.2727][ 3.19467][  3.1252][ 3.06342][ 3.00859][ 2.96009][ 2.91741][ 2.88009][ 2.84776][ 2.82009][ 2.79684][ 2.77777][ 2.76272][ 2.75154][ 2.74415][ 2.74047][ 2.74047][ 2.74416][ 2.75155][ 2.76273][ 2.77779][ 2.79686][ 2.82012][ 2.84779][ 2.88012][ 2.91745][ 2.96013][ 3.00863][ 3.06346][ 3.12525][ 3.19472][ 3.27275][ 3.36036][ 3.45876][ 3.56944][ 3.69415][ 3.83504][ 3.99476][ 4.17655][ 4.38451][ 4.62382][ 4.90115][ 5.22521][ 5.60765][ 6.06433][ 6.61747][ 7.29911][ 8.15728][ 9.26723][ 10.7537][ 12.8381][ 15.9499][ 21.0142][ 30.2849][ 50.0251][     100]
[     100][ 69.8154][ 50.1003][ 37.8219][ 29.9473][ 24.6488][ 20.9092][ 18.1579][ 16.0627][ 14.4216][ 13.1063][ 12.0321][  11.141][ 10.3919][ 9.75545][ 9.20952][ 8.73757][ 8.32683][ 7.96732][ 7.65115][   7.372][ 7.12473][ 6.90515][ 6.70981][ 6.53583][  6.3808][ 6.24272][ 6.11989][ 6.01085][ 5.91439][ 5.82947][  5.7552][ 5.69085][ 5.63579][  5.5895][ 5.55154][ 5.52157][ 5.49932][  5.4846][ 5.47727][ 5.47727][ 5.48461][ 5.49934][  5.5216][ 5.55157][ 5.58954][ 5.63584][ 5.69091][ 5.75527][ 5.82954][ 5.91447][ 6.01093][ 6.11998][ 6.24282][  6.3809][ 6.53593][ 6.70992][ 6.90527][ 7.12485][ 7.37212][ 7.65127][ 7.96744][ 8.32694][ 8.73769][ 9.20964][ 9.75556][ 10.3921][ 11.1411][ 12.0322][ 13.1064][ 14.4217][ 16.0628][  18.158][ 20.9093][ 24.6489][ 29.9474][ 37.8219][ 50.1003][ 69.8154][     100]
[     100][ 79.1363][ 62.4791][ 50.2257][ 41.3687][ 34.9006][ 30.0766][ 26.3925][ 23.5141][ 21.2183][ 19.3542][ 17.8169][ 16.5322][ 15.4462][ 14.5193][ 13.7213][ 13.0295][ 12.4259][ 11.8966][ 11.4303][  11.018][ 10.6524][ 10.3274][  10.038][ 9.78001][ 9.55001][ 9.34503][ 9.16258][ 9.00055][ 8.85716][ 8.73088][ 8.62042][ 8.52468][ 8.44275][ 8.37384][ 8.31733][ 8.27272][ 8.23959][ 8.21767][ 8.20676][ 8.20677][ 8.21769][ 8.23962][ 8.27276][ 8.31739][ 8.37391][ 8.44282][ 8.52477][ 8.62052][ 8.73099][ 8.85728][ 9.00068][ 9.16271][ 9.34517][ 9.55016][ 9.78017][ 10.0381][ 10.3276][ 10.6526][ 11.0182][ 11.4305][ 11.8968][ 12.4261][ 13.0297][ 13.7215][ 14.5194][ 15.4464][ 16.5323][ 17.8171][ 19.3543][ 21.2185][ 23.5142][ 26.3927][ 30.0767][ 34.9007][ 41.3688][ 50.2258][ 62.4791][ 79.1363][     100]
[     100][ 84.2507][ 70.4539][ 59.2332][ 50.4012][ 43.5082][ 38.1042][ 33.8216][ 30.3827][ 27.5834][ 25.2752][ 23.3491][ 21.7247][ 20.3415][  19.154][  18.127][ 17.2331][ 16.4508][ 15.7629][ 15.1555][ 14.6175][ 14.1395][  13.714][ 13.3347][ 12.9963][ 12.6942][ 12.4248][ 12.1849][ 11.9716][ 11.7829][ 11.6165][ 11.4709][ 11.3447][ 11.2367][ 11.1458][ 11.0713][ 11.0124][ 10.9687][ 10.9398][ 10.9254][ 10.9254][ 10.9398][ 10.9687][ 11.0125][ 11.0713][ 11.1459][ 11.2368][ 11.3449][ 11.4711][ 11.6167][  11.783][ 11.9718][  12.185][  12.425][ 12.6944][ 12.9965][ 13.3349][ 13.7142][ 14.1397][ 14.6177][ 15.1558][ 15.7631][ 16.4511][ 17.2334][ 18.1273][ 19.1543][ 20.3418][ 21.7249][ 23.3493][ 25.2754][ 27.5836][ 30.3828][ 33.8217][ 38.1043][ 43.5084][ 50.4013][ 59.2332][  70.454][ 84.2508][     100]
[     100][ 87.4127][ 75.8528][ 65.8517][ 57.4949][  50.627][ 45.0102][ 40.4069][ 36.6116][ 33.4576][ 30.8142][ 28.5798][ 26.6758][ 25.0412][ 23.6284][ 22.3996][ 21.3253][ 20.3814][ 19.5487][ 18.8114][ 18.1568][ 17.5741][ 17.0545][ 16.5906][ 16.1761][ 15.8058][ 15.4752][ 15.1805][ 14.9184][ 14.6861][ 14.4814][ 14.3021][ 14.1467][ 14.0135][ 13.9015][ 13.8096][  13.737][  13.683][ 13.6474][ 13.6296][ 13.6296][ 13.6474][ 13.6831][  13.737][ 13.8097][ 13.9016][ 14.0137][ 14.1468][ 14.3023][ 14.4816][ 14.6863][ 14.9186][ 15.1807][ 15.4754][ 15.8061][ 16.1764][ 16.5909][ 17.0548][ 17.5744][ 18.1571][ 18.8117][ 19.5489][ 20.3817][ 21.3256][ 22.3999][ 23.6286][ 25.0415][ 26.6761][   28.58][ 30.8144][ 33.4578][ 36.6118][ 40.4071][ 45.0104][ 50.6271][  57.495][ 65.8518][ 75.8528][ 87.4127][     100]
[     100][ 89.5473][ 79.6926][ 70.8262][ 63.0996][ 56.4945][ 50.9028][ 46.1844][ 42.1991][ 38.8212][ 35.9441][   33.48][ 31.3576][ 29.5193][ 27.9185][ 26.5179][ 25.2869][ 24.2007][  23.239][ 22.3848][ 21.6242][ 20.9457][ 20.3394][ 19.7971][ 19.3119][ 18.8778][ 18.4897][ 18.1435][ 17.8352][ 17.5619][ 17.3208][ 17.1096][ 16.9263][ 16.7693][ 16.6371][ 16.5286][ 16.4429][ 16.3792][ 16.3371][ 16.3161][ 16.3161][ 16.3371][ 16.3793][  16.443][ 16.5287][ 16.6372][ 16.7694][ 16.9265][ 17.1098][ 17.3211][ 17.5622][ 17.8355][ 18.1437][   18.49][ 18.8781][ 19.3122][ 19.7974][ 20.3397][  20.946][ 21.6246][ 22.3851][ 23.2393][ 24.2011][ 25.2873][ 26.5183][ 27.9189][ 29.5196][ 31.3579][ 33.4803][ 35.9444][ 38.8214][ 42.1993][ 46.1846][  50.903][ 56.4947][ 63.0997][ 70.8263][ 79.6927][ 89.5474][     100]
[     100][ 91.0839][ 82.5443][ 74.6608][ 67.5829][ 61.3486][ 55.9222][ 51.2288][ 47.1792][  43.684][ 40.6611][ 38.0386][ 35.7553][ 33.7597][ 32.0087][ 30.4666][ 29.1038][ 27.8957][ 26.8217][ 25.8645][ 25.0097][ 24.2451][ 23.5603][ 22.9466][ 22.3966][ 21.9037][ 21.4625][ 21.0684][ 20.7173][ 20.4056][ 20.1304][ 19.8892][ 19.6798][ 19.5002][  19.349][ 19.2249][ 19.1268][ 19.0539][ 19.0057][ 18.9817][ 18.9817][ 19.0057][  19.054][ 19.1269][  19.225][ 19.3492][ 19.5004][   19.68][ 19.8895][ 20.1307][ 20.4059][ 20.7176][ 21.0687][ 21.4629][  21.904][ 22.3969][  22.947][ 23.5607][ 24.2455][ 25.0101][ 25.8649][ 26.8221][ 27.8961][ 29.1042][  30.467][  32.009][   33.76][ 35.7557][  38.039][ 40.6614][ 43.6843][ 47.1795][ 51.2291][ 55.9224][ 61.3488][  67.583][ 74.6609][ 82.5444][  91.084][     100]
[     100][ 92.2441][ 84.7399][ 77.6898][ 71.2225][ 65.3948][ 60.2085][ 55.6295][  51.605][ 48.0744][ 44.9776][ 42.2581][ 39.8655][ 37.7555][ 35.8899][  34.236][ 32.7662][ 31.4567][ 30.2876][ 29.2419][  28.305][ 27.4646][ 26.7102][ 26.0326][ 25.4241][ 24.8779][ 24.3884][ 23.9505][ 23.5599][ 23.2128][ 22.9062][ 22.6371][ 22.4034][ 22.2029][  22.034][ 21.8952][ 21.7856][ 21.7041][ 21.6501][ 21.6232][ 21.6233][ 21.6502][ 21.7042][ 21.7857][ 21.8954][ 22.0341][ 22.2031][ 22.4036][ 22.6374][ 22.9064][ 23.2131][ 23.5602][ 23.9508][ 24.3888][ 24.8783][ 25.4245][  26.033][ 26.7106][ 27.4651][ 28.3055][ 29.2423][ 30.2881][ 31.4572][ 32.7666][ 34.2365][ 35.8903][ 37.7559][ 39.8659][ 42.2585][ 44.9779][ 48.0747][ 51.6053][ 55.6298][ 60.2087][  65.395][ 71.2227][   77.69][   84.74][ 92.2441][     100]
[     100][ 93.1524][ 86.4814][ 80.1362][ 74.2225][ 68.7997][ 63.8874][ 59.4759][ 55.5367][ 52.0312][ 48.9167][ 46.1508][ 43.6931][ 41.5069][ 39.5593][ 37.8215][ 36.2681][ 34.8774][ 33.6303][ 32.5105][ 31.5039][ 30.5983][ 29.7832][ 29.0495][ 28.3893][ 27.7956][ 27.2627][ 26.7853][ 26.3589][ 25.9797][ 25.6443][ 25.3498][ 25.0938][  24.874][ 24.6888][ 24.5366][ 24.4162][ 24.3268][ 24.2675][  24.238][  24.238][ 24.2676][ 24.3269][ 24.4164][ 24.5368][  24.689][ 24.8742][  25.094][ 25.3501][ 25.6446][ 25.9801][ 26.3593][ 26.7857][ 27.2631][ 27.7961][ 28.3897][   29.05][ 29.7837][ 30.5988][ 31.5044][  32.511][ 33.6308][ 34.8779][ 36.2686][  37.822][ 39.5598][ 41.5074][ 43.6935][ 46.1512][ 48.9171][ 52.0315][ 55.5371][ 59.4762][ 63.8877][ 68.7999][ 74.2227][ 80.1363][ 86.4815][ 93.1525][     100]
[     100][ 93.8843][ 87.8971][ 82.1509][ 76.7315][ 71.6941][ 67.0656][   62.85][ 59.0348][ 55.5969][ 52.5074][ 49.7352][ 47.2493][ 45.0197][ 43.0191][ 41.2225][ 39.6075][ 38.1544][ 36.8456][ 35.6659][ 34.6018][ 33.6416][  32.775][  31.993][ 31.2879][ 30.6527][ 30.0815][ 29.5691][ 29.1109][ 28.7029][ 28.3416][ 28.0242][ 27.7479][ 27.5107][ 27.3106][ 27.1462][ 27.0161][ 26.9193][ 26.8553][ 26.8233][ 26.8234][ 26.8553][ 26.9194][ 27.0162][ 27.1464][ 27.3109][  27.511][ 27.7482][ 28.0245][  28.342][ 28.7032][ 29.1113][ 29.5695][  30.082][ 30.6532][ 31.2884][ 31.9935][ 32.7755][ 33.6421][ 34.6023][ 35.6664][ 36.8462][ 38.1549][ 39.6081][  41.223][ 43.0196][ 45.0202][ 47.2497][ 49.7357][ 52.5079][ 55.5973][ 59.0352][ 62.8504][ 67.0659][ 71.6944][ 76.7317][ 82.1511][ 87.8972][ 93.8844][     100]
