One Processor: 
Tolerence Level: 0.1
Final Difference Between Grids: 0.0999871
Iteration Count: 29035
Ticks: 5.50657e+07
Seconds: 55.0657s
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 50.0047][ 30.2442][ 20.9531][ 15.8684][ 12.7362][ 10.6313][ 9.12443][ 7.99399][ 7.11529][ 6.41308][ 5.83932][ 5.36196][ 4.95877][ 4.61387][ 4.31561][ 4.05527][ 3.82615][ 3.62305][ 3.44189][ 3.27936][ 3.13282][ 3.00009][ 2.87938][ 2.76919][ 2.66827][ 2.57554][ 2.49012][ 2.41121][ 2.33816][ 2.27039][ 2.20738][ 2.14871][ 2.09398][ 2.04286][ 1.99504][ 1.95025][ 1.90826][ 1.86885][ 1.83184][ 1.79705][ 1.76432][ 1.73352][ 1.70452][ 1.67721][ 1.65148][ 1.62725][ 1.60441][ 1.58291][ 1.56265][ 1.54359][ 1.52566][  1.5088][ 1.49296][ 1.47811][ 1.46419][ 1.45117][ 1.43901][ 1.42769][ 1.41717][ 1.40742][ 1.39843][ 1.39016][  1.3826][ 1.37573][ 1.36953][   1.364][ 1.35911][ 1.35485][ 1.35122][ 1.34821][ 1.34581][ 1.34401][ 1.34282][ 1.34222][ 1.34222][ 1.34282][ 1.34401][ 1.34581][ 1.34821][ 1.35122][ 1.35485][ 1.35911][   1.364][ 1.36953][ 1.37573][  1.3826][ 1.39016][ 1.39843][ 1.40742][ 1.41717][ 1.42769][ 1.43902][ 1.45117][ 1.46419][ 1.47811][ 1.49296][  1.5088][ 1.52566][ 1.54359][ 1.56265][ 1.58291][ 1.60442][ 1.62725][ 1.65149][ 1.67721][ 1.70452][ 1.73352][ 1.76432][ 1.79705][ 1.83184][ 1.86886][ 1.90826][ 1.95025][ 1.99504][ 2.04286][ 2.09399][ 2.14871][ 2.20738][ 2.27039][ 2.33816][ 2.41121][ 2.49012][ 2.57554][ 2.66827][ 2.76919][ 2.87938][ 3.00009][ 3.13282][ 3.27936][ 3.44189][ 3.62305][ 3.82615][ 4.05527][ 4.31561][ 4.61387][ 4.95877][ 5.36196][ 5.83933][ 6.41308][ 7.11529][ 7.99399][ 9.12443][ 10.6313][ 12.7362][ 15.8684][ 20.9531][ 30.2442][ 50.0047][     100]
[     100][ 69.7747][ 50.0189][ 37.6997][ 29.7844][  24.445][ 20.6646][ 17.8724][ 15.7362][ 14.0541][ 12.6977][ 11.5823][ 10.6497][ 9.85924][ 9.18109][ 8.59332][ 8.07931][ 7.62626][ 7.22418][ 6.86513][ 6.54273][ 6.25183][ 5.98817][ 5.74824][ 5.52912][ 5.32833][ 5.14379][ 4.97371][ 4.81657][ 4.67105][   4.536][ 4.41043][ 4.29348][ 4.18436][ 4.08242][ 3.98704][ 3.89771][ 3.81394][ 3.73532][ 3.66146][ 3.59203][ 3.52671][ 3.46524][ 3.40736][ 3.35284][ 3.30148][ 3.25309][  3.2075][ 3.16456][ 3.12412][ 3.08605][ 3.05024][ 3.01657][ 2.98495][ 2.95528][ 2.92748][ 2.90148][  2.8772][ 2.85458][ 2.83356][ 2.81409][ 2.79612][ 2.77961][ 2.76451][ 2.75078][ 2.73841][ 2.72735][ 2.71758][ 2.70908][ 2.70183][ 2.69581][ 2.69102][ 2.68743][ 2.68504][ 2.68385][ 2.68385][ 2.68504][ 2.68743][ 2.69102][ 2.69581][ 2.70183][ 2.70908][ 2.71758][ 2.72735][ 2.73841][ 2.75079][ 2.76451][ 2.77961][ 2.79613][  2.8141][ 2.83357][ 2.85458][  2.8772][ 2.90148][ 2.92748][ 2.95528][ 2.98495][ 3.01657][ 3.05024][ 3.08605][ 3.12412][ 3.16456][  3.2075][ 3.25309][ 3.30148][ 3.35284][ 3.40736][ 3.46524][ 3.52672][ 3.59203][ 3.66146][ 3.73532][ 3.81395][ 3.89771][ 3.98705][ 4.08242][ 4.18437][ 4.29348][ 4.41044][   4.536][ 4.67105][ 4.81657][ 4.97371][ 5.14379][ 5.32833][ 5.52912][ 5.74825][ 5.98817][ 6.25183][ 6.54274][ 6.86513][ 7.22418][ 7.62627][ 8.07931][ 8.59332][ 9.18109][ 9.85924][ 10.6498][ 11.5823][ 12.6977][ 14.0541][ 15.7362][ 17.8724][ 20.6646][  24.445][ 29.7844][ 37.6997][ 50.0189][ 69.7747][     100]
[     100][ 79.0752][ 62.3569][ 50.0424][ 41.1243][  34.595][ 29.7098][ 25.9644][ 23.0244][ 20.6672][ 18.7414][ 17.1423][ 15.7955][ 14.6474][ 13.6579][ 12.7973][ 12.0424][ 11.3754][ 10.7823][ 10.2517][ 9.77462][ 9.34359][ 8.95251][  8.5963][ 8.27071][ 7.97215][ 7.69757][ 7.44437][ 7.21031][ 6.99346][ 6.79213][ 6.60488][  6.4304][ 6.26757][  6.1154][ 5.97301][  5.8396][ 5.71448][ 5.59702][ 5.48665][ 5.38289][ 5.28526][ 5.19336][ 5.10682][ 5.02531][  4.9485][ 4.87613][ 4.80794][ 4.74371][ 4.68321][ 4.62626][ 4.57267][ 4.52229][ 4.47497][ 4.43058][ 4.38898][ 4.35006][ 4.31372][ 4.27987][ 4.24841][ 4.21927][ 4.19237][ 4.16764][ 4.14504][  4.1245][ 4.10597][ 4.08941][ 4.07478][ 4.06206][  4.0512][  4.0422][ 4.03501][ 4.02964][ 4.02606][ 4.02428][ 4.02428][ 4.02606][ 4.02964][ 4.03501][  4.0422][ 4.05121][ 4.06206][ 4.07479][ 4.08941][ 4.10597][  4.1245][ 4.14504][ 4.16765][ 4.19237][ 4.21927][ 4.24841][ 4.27987][ 4.31373][ 4.35006][ 4.38898][ 4.43058][ 4.47498][  4.5223][ 4.57268][ 4.62626][ 4.68321][ 4.74371][ 4.80795][ 4.87614][ 4.94851][ 5.02531][ 5.10683][ 5.19337][ 5.28527][ 5.38289][ 5.48666][ 5.59702][ 5.71448][ 5.83961][ 5.97301][ 6.11541][ 6.26758][ 6.43041][ 6.60488][ 6.79214][ 6.99346][ 7.21031][ 7.44437][ 7.69757][ 7.97215][ 8.27071][ 8.59631][ 8.95252][  9.3436][ 9.77463][ 10.2517][ 10.7823][ 11.3754][ 12.0424][ 12.7973][ 13.6579][ 14.6474][ 15.7955][ 17.1423][ 18.7414][ 20.6672][ 23.0244][ 25.9644][ 29.7098][  34.595][ 41.1243][ 50.0424][ 62.3569][ 79.0752][     100]
[     100][ 84.1693][ 70.2911][ 58.9888][ 50.0754][ 43.1008][ 37.6151][ 33.2508][   29.73][ 26.8488][ 24.4584][ 22.4499][ 20.7428][ 19.2767][  18.006][ 16.8954][ 15.9175][ 15.0507][ 14.2778][ 13.5848][ 12.9604][ 12.3954][  11.882][ 11.4137][ 10.9853][  10.592][   10.23][ 9.89588][ 9.58684][ 9.30034][  9.0342][ 8.78654][ 8.55567][ 8.34013][ 8.13862][ 7.94999][  7.7732][ 7.60735][ 7.45161][ 7.30525][ 7.16761][ 7.03808][ 6.91613][ 6.80127][ 6.69306][ 6.59109][ 6.49499][ 6.40444][ 6.31912][ 6.23875][ 6.16309][  6.0919][ 6.02496][ 5.96208][ 5.90308][ 5.84779][ 5.79607][ 5.74776][ 5.70276][ 5.66094][  5.6222][ 5.58643][ 5.55356][ 5.52351][ 5.49619][ 5.47155][ 5.44954][ 5.43009][ 5.41317][ 5.39873][ 5.38675][  5.3772][ 5.37005][  5.3653][ 5.36292][ 5.36293][  5.3653][ 5.37006][  5.3772][ 5.38675][ 5.39873][ 5.41317][ 5.43009][ 5.44954][ 5.47156][ 5.49619][ 5.52351][ 5.55357][ 5.58644][  5.6222][ 5.66095][ 5.70277][ 5.74777][ 5.79607][  5.8478][ 5.90309][ 5.96209][ 6.02497][ 6.09191][  6.1631][ 6.23876][ 6.31913][ 6.40445][   6.495][  6.5911][ 6.69307][ 6.80128][ 6.91614][ 7.03809][ 7.16762][ 7.30526][ 7.45162][ 7.60736][ 7.77321][    7.95][ 8.13863][ 8.34014][ 8.55568][ 8.78655][ 9.03421][ 9.30035][ 9.58685][ 9.89589][   10.23][  10.592][ 10.9853][ 11.4138][  11.882][ 12.3954][ 12.9605][ 13.5848][ 14.2778][ 15.0508][ 15.9175][ 16.8954][  18.006][ 19.2767][ 20.7428][ 22.4499][ 24.4584][ 26.8488][   29.73][ 33.2508][ 37.6151][ 43.1009][ 50.0754][ 58.9888][ 70.2911][ 84.1693][     100]
[     100][  87.311][ 75.6492][ 65.5464][ 57.0877][ 50.1179][ 44.3991][ 39.6937][  35.796][ 32.5395][ 29.7934][ 27.4561][ 25.4489][ 23.7108][  22.194][ 20.8609][ 19.6816][ 18.6322][ 17.6934][ 16.8493][  16.087][ 15.3956][ 14.7663][ 14.1914][ 13.6646][ 13.1805][ 12.7344][ 12.3224][ 11.9408][ 11.5869][ 11.2578][ 10.9514][ 10.6656][ 10.3987][  10.149][ 9.91511][ 9.69587][ 9.49011][ 9.29684][ 9.11514][ 8.94421][ 8.78333][ 8.63182][ 8.48908][ 8.35457][  8.2278][ 8.10831][  7.9957][ 7.88957][  7.7896][ 7.69546][ 7.60688][ 7.52357][ 7.44531][ 7.37187][ 7.30304][ 7.23865][ 7.17851][ 7.12247][  7.0704][ 7.02215][ 6.97761][ 6.93667][ 6.89923][ 6.86521][ 6.83452][  6.8071][ 6.78287][ 6.76179][ 6.74381][ 6.72888][ 6.71698][ 6.70808][ 6.70216][  6.6992][  6.6992][ 6.70216][ 6.70808][ 6.71698][ 6.72889][ 6.74381][ 6.76179][ 6.78287][  6.8071][ 6.83453][ 6.86522][ 6.89924][ 6.93668][ 6.97761][ 7.02215][  7.0704][ 7.12248][ 7.17852][ 7.23865][ 7.30305][ 7.37188][ 7.44532][ 7.52358][ 7.60689][ 7.69547][ 7.78961][ 7.88958][ 7.99571][ 8.10832][ 8.22781][ 8.35458][ 8.48909][ 8.63183][ 8.78334][ 8.94423][ 9.11515][ 9.29685][ 9.49012][ 9.69588][ 9.91513][  10.149][ 10.3987][ 10.6656][ 10.9514][ 11.2578][ 11.5869][ 11.9408][ 12.3224][ 12.7345][ 13.1805][ 13.6647][ 14.1914][ 14.7663][ 15.3956][  16.087][ 16.8493][ 17.6934][ 18.6322][ 19.6816][ 20.8609][  22.194][ 23.7108][ 25.4489][ 27.4561][ 29.7934][ 32.5395][  35.796][ 39.6937][ 44.3991][ 50.1179][ 57.0877][ 65.5464][ 75.6492][  87.311][     100]
[     100][ 89.4253][ 79.4485][ 70.4599][ 62.6112][ 55.8838][ 50.1697][ 45.3288][ 41.2208][ 37.7199][ 34.7197][ 32.1322][  29.886][ 27.9235][ 26.1982][ 24.6725][ 23.3158][ 22.1032][ 21.0142][  20.032][ 19.1425][ 18.3338][ 17.5961][  16.921][ 16.3014][ 15.7311][ 15.2049][ 14.7183][ 14.2673][ 13.8484][ 13.4588][ 13.0956][ 12.7567][ 12.4399][ 12.1434][ 11.8656][ 11.6051][ 11.3604][ 11.1305][ 10.9143][ 10.7108][ 10.5192][ 10.3387][ 10.1687][ 10.0084][ 9.85723][ 9.71476][ 9.58046][ 9.45388][ 9.33461][ 9.22229][ 9.11657][ 9.01714][ 8.92372][ 8.83604][ 8.75387][ 8.67697][ 8.60515][ 8.53823][ 8.47603][ 8.41839][ 8.36518][ 8.31628][ 8.27155][  8.2309][ 8.19423][ 8.16146][ 8.13251][ 8.10732][ 8.08583][ 8.06799][ 8.05377][ 8.04313][ 8.03605][ 8.03251][ 8.03251][ 8.03605][ 8.04313][ 8.05377][ 8.06799][ 8.08583][ 8.10732][ 8.13251][ 8.16146][ 8.19423][  8.2309][ 8.27155][ 8.31628][ 8.36519][  8.4184][ 8.47603][ 8.53824][ 8.60516][ 8.67698][ 8.75387][ 8.83605][ 8.92373][ 9.01715][ 9.11658][  9.2223][ 9.33462][ 9.45389][ 9.58047][ 9.71478][ 9.85725][ 10.0084][ 10.1687][ 10.3387][ 10.5192][ 10.7108][ 10.9143][ 11.1305][ 11.3604][ 11.6051][ 11.8657][ 12.1435][ 12.4399][ 12.7567][ 13.0957][ 13.4588][ 13.8484][ 14.2673][ 14.7183][ 15.2049][ 15.7311][ 16.3014][  16.921][ 17.5961][ 18.3338][ 19.1425][  20.032][ 21.0142][ 22.1032][ 23.3158][ 24.6725][ 26.1982][ 27.9235][  29.886][ 32.1322][ 34.7197][   37.72][ 41.2208][ 45.3288][ 50.1697][ 55.8838][ 62.6112][ 70.4599][ 79.4485][ 89.4253][     100]
[     100][ 90.9416][ 82.2596][ 74.2336][ 67.0132][ 60.6363][ 55.0672][  50.231][ 46.0383][ 42.3998][ 39.2333][  36.467][ 34.0395][ 31.8991][ 30.0029][  28.315][ 26.8058][ 25.4505][ 24.2284][ 23.1221][ 22.1171][  21.201][ 20.3633][ 19.5951][ 18.8887][ 18.2375][ 17.6358][ 17.0786][ 16.5615][ 16.0808][ 15.6332][ 15.2157][ 14.8257][ 14.4609][ 14.1193][ 13.7989][ 13.4983][ 13.2159][ 12.9504][ 12.7006][ 12.4655][  12.244][ 12.0352][ 11.8385][  11.653][  11.478][ 11.3131][ 11.1575][ 11.0109][ 10.8727][ 10.7425][   10.62][ 10.5047][ 10.3964][ 10.2947][ 10.1994][ 10.1102][ 10.0269][ 9.94926][ 9.87709][ 9.81021][ 9.74846][  9.6917][ 9.63979][  9.5926][ 9.55004][ 9.51199][ 9.47839][ 9.44914][ 9.42419][ 9.40348][ 9.38697][ 9.37462][  9.3664][ 9.36229][ 9.36229][  9.3664][ 9.37462][ 9.38697][ 9.40349][  9.4242][ 9.44915][ 9.47839][   9.512][ 9.55004][ 9.59261][ 9.63979][ 9.69171][ 9.74847][ 9.81022][  9.8771][ 9.94927][ 10.0269][ 10.1102][ 10.1994][ 10.2947][ 10.3964][ 10.5047][   10.62][ 10.7425][ 10.8727][ 11.0109][ 11.1575][ 11.3131][  11.478][  11.653][ 11.8385][ 12.0352][  12.244][ 12.4655][ 12.7006][ 12.9504][ 13.2159][ 13.4983][  13.799][ 14.1193][ 14.4609][ 14.8257][ 15.2157][ 15.6332][ 16.0809][ 16.5615][ 17.0786][ 17.6358][ 18.2376][ 18.8888][ 19.5951][ 20.3633][  21.201][ 22.1171][ 23.1221][ 24.2284][ 25.4505][ 26.8058][  28.315][ 30.0029][ 31.8991][ 34.0395][  36.467][ 39.2333][ 42.3998][ 46.0383][  50.231][ 55.0672][ 60.6363][ 67.0132][ 74.2337][ 82.2596][ 90.9416][     100]
[     100][ 92.0814][ 84.4146][ 77.2019][ 70.5717][ 64.5812][ 59.2318][ 54.4897][ 50.3017][ 46.6075][ 43.3467][  40.463][ 37.9057][ 35.6305][ 33.5992][  31.779][  30.142][ 28.6646][ 27.3266][ 26.1109][ 25.0028][ 23.9897][ 23.0611][ 22.2075][ 21.4209][ 20.6945][ 20.0222][ 19.3987][ 18.8194][ 18.2802][ 17.7775][ 17.3082][ 16.8695][ 16.4587][ 16.0737][ 15.7126][ 15.3734][ 15.0546][ 14.7547][ 14.4724][ 14.2065][ 13.9559][ 13.7198][  13.497][  13.287][ 13.0888][ 12.9019][ 12.7256][ 12.5594][ 12.4027][ 12.2551][ 12.1161][ 11.9853][ 11.8624][  11.747][ 11.6388][ 11.5376][  11.443][ 11.3548][ 11.2729][ 11.1969][ 11.1268][ 11.0623][ 11.0033][ 10.9497][ 10.9013][ 10.8581][ 10.8199][ 10.7867][ 10.7583][ 10.7348][  10.716][  10.702][ 10.6926][  10.688][  10.688][ 10.6926][  10.702][  10.716][ 10.7348][ 10.7583][ 10.7867][ 10.8199][ 10.8581][ 10.9013][ 10.9497][ 11.0033][ 11.0623][ 11.1268][ 11.1969][ 11.2729][ 11.3548][  11.443][ 11.5376][ 11.6389][  11.747][ 11.8624][ 11.9853][ 12.1161][ 12.2551][ 12.4027][ 12.5594][ 12.7257][ 12.9019][ 13.0888][  13.287][ 13.4971][ 13.7198][  13.956][ 14.2065][ 14.4724][ 14.7547][ 15.0546][ 15.3734][ 15.7126][ 16.0738][ 16.4587][ 16.8695][ 17.3082][ 17.7776][ 18.2802][ 18.8194][ 19.3987][ 20.0222][ 20.6945][ 21.4209][ 22.2075][ 23.0611][ 23.9898][ 25.0028][ 26.1109][ 27.3266][ 28.6646][  30.142][  31.779][ 33.5992][ 35.6305][ 37.9057][  40.463][ 43.3468][ 46.6075][ 50.3017][ 54.4897][ 59.2318][ 64.5812][ 70.5717][ 77.2019][ 84.4146][ 92.0814][     100]
[     100][ 92.9696][ 86.1156][ 79.5874][ 73.4907][ 67.8848][ 62.7892][ 58.1942][ 54.0713][ 50.3818][ 47.0831][ 44.1326][ 41.4898][ 39.1181][ 36.9843][ 35.0596][ 33.3186][ 31.7393][ 30.3026][ 28.9921][ 27.7934][ 26.6942][ 25.6837][ 24.7527][  23.893][ 23.0974][ 22.3598][ 21.6747][ 21.0372][  20.443][ 19.8885][ 19.3702][ 18.8852][ 18.4307][ 18.0044][ 17.6042][ 17.2281][ 16.8743][ 16.5413][ 16.2277][ 15.9322][ 15.6536][ 15.3908][ 15.1429][ 14.9091][ 14.6884][ 14.4802][ 14.2837][ 14.0984][ 13.9237][ 13.7591][  13.604][ 13.4581][ 13.3209][ 13.1921][ 13.0713][ 12.9583][ 12.8526][ 12.7542][ 12.6626][ 12.5778][ 12.4994][ 12.4274][ 12.3614][ 12.3015][ 12.2475][ 12.1992][ 12.1565][ 12.1193][ 12.0876][ 12.0613][ 12.0403][ 12.0246][ 12.0142][  12.009][  12.009][ 12.0142][ 12.0246][ 12.0403][ 12.0613][ 12.0876][ 12.1193][ 12.1565][ 12.1992][ 12.2475][ 12.3015][ 12.3615][ 12.4274][ 12.4994][ 12.5778][ 12.6626][ 12.7542][ 12.8527][ 12.9583][ 13.0714][ 13.1921][ 13.3209][ 13.4581][  13.604][ 13.7591][ 13.9237][ 14.0984][ 14.2837][ 14.4802][ 14.6884][ 14.9091][  15.143][ 15.3908][ 15.6536][ 15.9322][ 16.2277][ 16.5413][ 16.8743][ 17.2281][ 17.6042][ 18.0045][ 18.4307][ 18.8852][ 19.3703][ 19.8885][ 20.4431][ 21.0372][ 21.6747][ 22.3598][ 23.0974][  23.893][ 24.7527][ 25.6837][ 26.6942][ 27.7934][ 28.9921][ 30.3027][ 31.7393][ 33.3186][ 35.0596][ 36.9843][ 39.1181][ 41.4898][ 44.1326][ 47.0832][ 50.3819][ 54.0713][ 58.1942][ 62.7892][ 67.8848][ 73.4907][ 79.5874][ 86.1156][ 92.9696][     100]
[     100][ 93.6812][ 87.4909][ 81.5415][ 75.9188][  70.678][  65.846][ 61.4267][ 57.4075][ 53.7654][ 50.4714][ 47.4943][  44.803][ 42.3676][ 40.1605][ 38.1566][ 36.3336][ 34.6714][ 33.1525][ 31.7614][ 30.4845][ 29.3098][  28.227][ 27.2267][ 26.3008][ 25.4424][ 24.6449][  23.903][ 23.2115][ 22.5663][ 21.9633][  21.399][ 20.8704][ 20.3746][ 19.9091][ 19.4717][ 19.0604][ 18.6732][ 18.3086][ 17.9649][ 17.6409][ 17.3353][  17.047][ 16.7749][  16.518][ 16.2755][ 16.0466][ 15.8306][ 15.6268][ 15.4346][ 15.2534][ 15.0828][ 14.9221][ 14.7711][ 14.6292][ 14.4961][ 14.3716][ 14.2552][ 14.1466][ 14.0457][ 13.9521][ 13.8657][ 13.7863][ 13.7136][ 13.6475][ 13.5879][ 13.5346][ 13.4875][ 13.4465][ 13.4115][ 13.3825][ 13.3594][ 13.3421][ 13.3305][ 13.3248][ 13.3248][ 13.3305][ 13.3421][ 13.3594][ 13.3825][ 13.4116][ 13.4465][ 13.4875][ 13.5346][ 13.5879][ 13.6475][ 13.7136][ 13.7863][ 13.8657][ 13.9521][ 14.0457][ 14.1466][ 14.2552][ 14.3716][ 14.4962][ 14.6292][ 14.7711][ 14.9221][ 15.0828][ 15.2535][ 15.4346][ 15.6269][ 15.8307][ 16.0467][ 16.2755][  16.518][ 16.7749][  17.047][ 17.3354][  17.641][  17.965][ 18.3086][ 18.6732][ 19.0604][ 19.4717][ 19.9091][ 20.3746][ 20.8704][  21.399][ 21.9633][ 22.5663][ 23.2116][  23.903][ 24.6449][ 25.4424][ 26.3009][ 27.2267][  28.227][ 29.3099][ 30.4845][ 31.7614][ 33.1525][ 34.6714][ 36.3336][ 38.1566][ 40.1605][ 42.3676][  44.803][ 47.4944][ 50.4714][ 53.7654][ 57.4075][ 61.4267][  65.846][  70.678][ 75.9188][ 81.5415][ 87.4909][ 93.6812][     100]
