
*************************
hdFourPro(): Four Processors:
Grid_SPEC: (WxH) 100x100
Tolerance Level: 0.1
Final accumulative difference between grids: 0.0999667
Iteration Count: 4224
CPU Time(Ticks): 4.07386e+06
CPU Time(Seconds): 4.07386s
OMP Wall Time(Seconds): 2.20627s
OMP Timer Precision(Seconds): 0
********************************
FINAL GRID: 
***********************************
[       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0][       0]
[     100][ 50.0111][  30.257][ 20.9724][ 15.8942][ 12.7684][ 10.6701][ 9.16973][ 8.04588][ 7.17381][ 6.47829][ 5.91127][ 5.44072][ 5.04441][ 4.70646][ 4.41525][ 4.16204][ 3.94016][ 3.74442][ 3.57071][ 3.41577][ 3.27696][ 3.15209][  3.0394][ 2.93739][ 2.84483][ 2.76064][ 2.68396][   2.614][ 2.55013][ 2.49176][ 2.43842][ 2.38968][ 2.34516][ 2.30456][ 2.26757][ 2.23396][ 2.20351][ 2.17603][ 2.15135][ 2.12932][ 2.10983][ 2.09276][ 2.07801][ 2.06551][ 2.05519][   2.047][ 2.04089][ 2.03684][ 2.03482][ 2.03482][ 2.03684][  2.0409][   2.047][  2.0552][ 2.06551][ 2.07801][ 2.09276][ 2.10984][ 2.12933][ 2.15135][ 2.17604][ 2.20352][ 2.23397][ 2.26758][ 2.30456][ 2.34517][ 2.38969][ 2.43843][ 2.49177][ 2.55014][ 2.61401][ 2.68397][ 2.76066][ 2.84484][ 2.93741][ 3.03941][ 3.15211][ 3.27697][ 3.41578][ 3.57072][ 3.74443][ 3.94017][ 4.16205][ 4.41526][ 4.70647][ 5.04441][ 5.44073][ 5.91128][ 6.47829][ 7.17382][ 8.04589][ 9.16974][ 10.6701][ 12.7684][ 15.8942][ 20.9724][  30.257][ 50.0111][     100]
[     100][ 69.7875][ 50.0446][ 37.7383][ 29.8359][ 24.5095][ 20.7421][  17.963][   15.84][ 14.1711][ 12.8281][ 11.7261][ 10.8072][ 10.0304][  9.3662][ 8.79251][ 8.29276][ 7.85419][ 7.46679][ 7.12266][ 6.81543][ 6.53996][ 6.29202][ 6.06812][ 5.86535][ 5.68127][  5.5138][ 5.36118][ 5.22193][ 5.09474][  4.9785][ 4.87224][ 4.77512][ 4.68642][ 4.60549][ 4.53177][ 4.46477][ 4.40406][ 4.34926][ 4.30004][ 4.25612][ 4.21724][ 4.18319][ 4.15378][ 4.12884][ 4.10826][ 4.09192][ 4.07974][ 4.07165][ 4.06762][ 4.06762][ 4.07165][ 4.07974][ 4.09192][ 4.10827][ 4.12885][ 4.15378][  4.1832][ 4.21725][ 4.25613][ 4.30006][ 4.34927][ 4.40407][ 4.46478][ 4.53178][ 4.60551][ 4.68644][ 4.77514][ 4.87226][ 4.97852][ 5.09476][ 5.22195][ 5.36121][ 5.51382][ 5.68129][ 5.86537][ 6.06814][ 6.29204][ 6.53998][ 6.81545][ 7.12268][ 7.46681][ 7.85421][ 8.29278][ 8.79253][ 9.36622][ 10.0305][ 10.8072][ 11.7261][ 12.8281][ 14.1711][   15.84][  17.963][ 20.7421][ 24.5095][ 29.8359][ 37.7383][ 50.0446][ 69.7875][     100]
[     100][ 79.0945][ 62.3954][ 50.1003][ 41.2015][ 34.6916][ 29.8259][ 26.1001][ 23.1799][ 20.8425][ 18.9368][ 17.3579][ 16.0315][  14.904][ 13.9354][ 13.0958][ 12.3623][  11.717][ 11.1459][ 10.6377][ 10.1833][ 9.77543][ 9.40791][ 9.07572][ 8.77463][ 8.50109][ 8.25209][ 8.02506][  7.8178][ 7.62841][ 7.45526][ 7.29692][ 7.15217][ 7.01991][ 6.89921][ 6.78925][ 6.68929][ 6.59869][ 6.51691][ 6.44345][ 6.37788][ 6.31983][ 6.26898][ 6.22506][ 6.18783][ 6.15709][ 6.13268][ 6.11449][ 6.10241][ 6.09638][ 6.09639][ 6.10241][ 6.11449][ 6.13269][  6.1571][ 6.18784][ 6.22507][   6.269][ 6.31985][ 6.37789][ 6.44346][ 6.51693][ 6.59871][ 6.68931][ 6.78927][ 6.89924][ 7.01994][ 7.15219][ 7.29695][ 7.45528][ 7.62844][ 7.81783][ 8.02509][ 8.25212][ 8.50112][ 8.77466][ 9.07575][ 9.40794][ 9.77547][ 10.1834][ 10.6377][ 11.1459][ 11.7171][ 12.3623][ 13.0958][ 13.9354][  14.904][ 16.0315][ 17.3579][ 18.9368][ 20.8425][ 23.1799][ 26.1001][ 29.8259][ 34.6916][ 41.2015][ 50.1003][ 62.3954][ 79.0945][     100]
[     100][  84.195][ 70.3424][ 59.0659][ 50.1783][ 43.2296][ 37.7698][ 33.4316][ 29.9371][ 27.0823][ 24.7186][  22.737][ 21.0571][ 19.6185][ 18.3756][ 17.2931][ 16.3437][ 15.5057][ 14.7621][ 14.0989][ 13.5048][ 12.9705][ 12.4885][ 12.0522][ 11.6564][ 11.2964][ 10.9684][ 10.6692][ 10.3958][ 10.1458][  9.9172][ 9.70802][ 9.51671][ 9.34185][ 9.18221][ 9.03673][ 8.90444][ 8.78452][ 8.67624][ 8.57896][ 8.49212][ 8.41523][ 8.34786][ 8.28966][ 8.24033][ 8.19959][ 8.16724][ 8.14313][ 8.12712][ 8.11913][ 8.11913][ 8.12712][ 8.14313][ 8.16725][  8.1996][ 8.24034][ 8.28968][ 8.34788][ 8.41525][ 8.49214][ 8.57899][ 8.67627][ 8.78455][ 8.90447][ 9.03676][ 9.18225][ 9.34188][ 9.51674][ 9.70806][ 9.91724][ 10.1459][ 10.3958][ 10.6692][ 10.9685][ 11.2964][ 11.6564][ 12.0523][ 12.4885][ 12.9706][ 13.5048][ 14.0989][ 14.7621][ 15.5058][ 16.3437][ 17.2931][ 18.3756][ 19.6185][ 21.0571][ 22.7371][ 24.7186][ 27.0824][ 29.9371][ 33.4316][ 37.7698][ 43.2296][ 50.1783][ 59.0659][ 70.3424][  84.195][     100]
[     100][  87.343][ 75.7133][ 65.6426][ 57.2161][ 50.2785][ 44.5922][ 39.9194][ 36.0545][ 32.8311][ 30.1183][ 27.8146][ 25.8413][ 24.1374][ 22.6553][ 21.3572][ 20.2135][ 19.2002][ 18.2979][ 17.4909][ 16.7664][ 16.1134][ 15.5233][ 14.9883][ 14.5022][ 14.0597][  13.656][ 13.2874][ 12.9504][  12.642][ 12.3597][ 12.1013][ 11.8648][ 11.6486][ 11.4511][  11.271][ 11.1072][ 10.9587][ 10.8246][  10.704][ 10.5964][ 10.5011][ 10.4176][ 10.3454][ 10.2842][ 10.2337][ 10.1936][ 10.1637][ 10.1438][ 10.1339][ 10.1339][ 10.1438][ 10.1637][ 10.1936][ 10.2337][ 10.2842][ 10.3454][ 10.4176][ 10.5011][ 10.5964][ 10.7041][ 10.8246][ 10.9588][ 11.1073][ 11.2711][ 11.4511][ 11.6486][ 11.8648][ 12.1013][ 12.3597][  12.642][ 12.9504][ 13.2875][ 13.6561][ 14.0597][ 14.5023][ 14.9883][ 15.5233][ 16.1135][ 16.7664][  17.491][  18.298][ 19.2002][ 20.2136][ 21.3573][ 22.6553][ 24.1375][ 25.8413][ 27.8146][ 30.1183][ 32.8311][ 36.0546][ 39.9194][ 44.5922][ 50.2786][ 57.2161][ 65.6426][ 75.7133][  87.343][     100]
[     100][ 89.4636][ 79.5253][ 70.5752][  62.765][ 56.0763][ 50.4011][ 45.5992][ 41.5305][ 38.0693][ 35.1089][ 32.5617][ 30.3561][ 28.4346][ 26.7508][ 25.2671][  23.953][ 22.7835][ 21.7384][ 20.8006][ 19.9563][ 19.1936][ 18.5028][ 17.8755][ 17.3046][  16.784][ 16.3087][ 15.8741][ 15.4763][  15.112][ 14.7783][ 14.4726][ 14.1927][ 13.9365][ 13.7025][  13.489][ 13.2948][ 13.1186][ 12.9593][ 12.8162][ 12.6884][ 12.5752][ 12.4759][ 12.3902][ 12.3175][ 12.2574][ 12.2097][ 12.1742][ 12.1505][ 12.1388][ 12.1388][ 12.1506][ 12.1742][ 12.2097][ 12.2574][ 12.3175][ 12.3902][  12.476][ 12.5752][ 12.6884][ 12.8163][ 12.9594][ 13.1186][ 13.2948][ 13.4891][ 13.7026][ 13.9366][ 14.1927][ 14.4727][ 14.7784][ 15.1121][ 15.4763][ 15.8741][ 16.3087][ 16.7841][ 17.3046][ 17.8755][ 18.5029][ 19.1937][ 19.9564][ 20.8007][ 21.7384][ 22.7836][  23.953][ 25.2672][ 26.7509][ 28.4347][ 30.3562][ 32.5617][  35.109][ 38.0693][ 41.5305][ 45.5993][ 50.4011][ 56.0763][  62.765][ 70.5752][ 79.5253][ 89.4636][     100]
[     100][ 90.9863][  82.349][ 74.3678][ 67.1923][ 60.8605][ 55.3366][ 50.5459][  46.399][ 42.8065][ 39.6865][ 36.9671][ 34.5868][ 32.4942][ 30.6463][ 29.0074][ 27.5477][ 26.2426][ 25.0715][  24.017][ 23.0646][  22.202][ 21.4189][ 20.7062][ 20.0565][ 19.4632][ 18.9206][ 18.4239][ 17.9687][ 17.5515][ 17.1689][ 16.8181][ 16.4967][ 16.2025][ 15.9334][ 15.6878][ 15.4643][ 15.2614][  15.078][ 14.9131][ 14.7658][ 14.6353][ 14.5209][ 14.4219][ 14.3381][ 14.2688][ 14.2137][ 14.1727][ 14.1455][ 14.1319][ 14.1319][ 14.1455][ 14.1727][ 14.2138][ 14.2688][ 14.3381][  14.422][ 14.5209][ 14.6353][ 14.7658][ 14.9132][ 15.0781][ 15.2614][ 15.4643][ 15.6879][ 15.9334][ 16.2025][ 16.4968][ 16.8182][  17.169][ 17.5516][ 17.9688][ 18.4239][ 18.9207][ 19.4633][ 20.0566][ 20.7063][ 21.4189][ 22.2021][ 23.0646][  24.017][ 25.0715][ 26.2427][ 27.5478][ 29.0075][ 30.6464][ 32.4943][ 34.5869][ 36.9671][ 39.6866][ 42.8066][  46.399][  50.546][ 55.3367][ 60.8605][ 67.1923][ 74.3679][  82.349][ 90.9863][     100]
[     100][ 92.1324][ 84.5166][ 77.3549][  70.776][ 64.8368][ 59.5391][ 54.8488][  50.713][ 47.0714][ 43.8636][ 41.0332][ 38.5298][ 36.3091][ 34.3329][ 32.5684][ 30.9879][ 29.5678][ 28.2879][ 27.1311][  26.083][  25.131][ 24.2644][ 23.4741][ 22.7521][ 22.0917][ 21.4867][ 20.9321][ 20.4233][ 19.9563][ 19.5277][ 19.1344][ 18.7737][ 18.4432][ 18.1408][ 17.8646][ 17.6131][ 17.3847][ 17.1782][ 16.9924][ 16.8264][ 16.6793][ 16.5502][ 16.4387][ 16.3441][ 16.2659][ 16.2038][ 16.1575][ 16.1267][ 16.1114][ 16.1114][ 16.1267][ 16.1575][ 16.2038][ 16.2659][ 16.3441][ 16.4387][ 16.5503][ 16.6793][ 16.8265][ 16.9925][ 17.1783][ 17.3848][ 17.6132][ 17.8647][ 18.1408][ 18.4432][ 18.7737][ 19.1345][ 19.5278][ 19.9564][ 20.4234][ 20.9322][ 21.4868][ 22.0917][ 22.7522][ 23.4742][ 24.2645][ 25.1311][ 26.0831][ 27.1312][  28.288][ 29.5679][  30.988][ 32.5685][ 34.3329][ 36.3092][ 38.5299][ 41.0333][ 43.8636][ 47.0714][ 50.7131][ 54.8489][ 59.5391][ 64.8368][  70.776][ 77.3549][ 84.5166][ 92.1324][     100]
[     100][ 93.0267][   86.23][ 79.7591][ 73.7199][ 68.1716][  63.134][ 58.5972][ 54.5329][ 50.9024][ 47.6631][ 44.7725][ 42.1902][ 39.8795][ 37.8076][ 35.9454][ 34.2678][ 32.7527][ 31.3812][ 30.1368][ 29.0053][ 27.9745][ 27.0337][ 26.1736][ 25.3863][ 24.6646][ 24.0025][ 23.3945][  22.836][ 22.3228][ 21.8512][  21.418][ 21.0204][ 20.6558][ 20.3219][ 20.0168][ 19.7388][ 19.4862][ 19.2577][  19.052][ 18.8682][ 18.7052][ 18.5622][ 18.4385][ 18.3336][ 18.2469][ 18.1781][ 18.1267][ 18.0926][ 18.0756][ 18.0756][ 18.0926][ 18.1267][ 18.1781][  18.247][ 18.3337][ 18.4386][ 18.5622][ 18.7052][ 18.8682][ 19.0521][ 19.2577][ 19.4863][ 19.7389][ 20.0169][  20.322][ 20.6558][ 21.0205][ 21.4181][ 21.8513][ 22.3229][ 22.8361][ 23.3946][ 24.0026][ 24.6647][ 25.3864][ 26.1737][ 27.0338][ 27.9746][ 29.0054][ 30.1369][ 31.3812][ 32.7528][ 34.2679][ 35.9455][ 37.8077][ 39.8796][ 42.1903][ 44.7725][ 47.6632][ 50.9025][  54.533][ 58.5973][  63.134][ 68.1717][ 73.7199][ 79.7592][   86.23][ 93.0268][     100]
[     100][ 93.7446][ 87.6177][ 81.7318][ 76.1728][ 70.9959][ 66.2281][ 61.8733][  57.919][ 54.3422][  51.114][ 48.2033][  45.579][ 43.2112][ 41.0726][  39.138][ 37.3851][  35.794][ 34.3473][ 33.0294][  31.827][  30.728][ 29.7222][ 28.8005][ 27.9547][  27.178][ 26.4641][ 25.8075][ 25.2034][ 24.6476][ 24.1363][ 23.6661][ 23.2341][ 22.8376][ 22.4743][  22.142][  21.839][ 21.5636][ 21.3143][ 21.0898][ 20.8891][  20.711][ 20.5548][ 20.4197][  20.305][ 20.2102][ 20.1349][ 20.0787][ 20.0414][ 20.0228][ 20.0228][ 20.0414][ 20.0787][ 20.1349][ 20.2102][  20.305][ 20.4197][ 20.5548][ 20.7111][ 20.8891][ 21.0899][ 21.3144][ 21.5637][ 21.8391][ 22.1421][ 22.4744][ 22.8377][ 23.2342][ 23.6662][ 24.1364][ 24.6477][ 25.2035][ 25.8076][ 26.4642][ 27.1781][ 27.9548][ 28.8006][ 29.7223][ 30.7281][ 31.8271][ 33.0296][ 34.3474][ 35.7941][ 37.3852][ 39.1381][ 41.0727][ 43.2113][ 45.5791][ 48.2034][ 51.1141][ 54.3423][  57.919][ 61.8733][ 66.2281][ 70.9959][ 76.1728][ 81.7318][ 87.6177][ 93.7446][     100]
